iter	Passed	Remaining
0	127	127298
1	128	64205
2	131	43586
3	133	33287
4	136	27066
5	140	23204
6	141	20070
7	142	17714
8	145	15995
9	147	14641
10	151	13579
11	154	12687
12	156	11915
13	159	11258
14	162	10667
15	164	10095
16	166	9638
17	169	9236
18	172	8883
19	174	8546
20	176	8240
21	179	7962
22	181	7726
23	185	7546
24	188	7367
25	192	7202
26	196	7065
27	199	6927
28	202	6793
29	206	6680
30	210	6591
31	213	6471
32	216	6350
33	219	6238
34	221	6115
35	225	6032
36	227	5914
37	228	5794
38	230	5676
39	231	5565
40	233	5455
41	234	5352
42	236	5255
43	237	5169
44	239	5077
45	240	4987
46	241	4902
47	242	4819
48	244	4740
49	245	4670
50	247	4599
51	248	4530
52	250	4474
53	251	4413
54	253	4352
55	255	4299
56	256	4238
57	257	4180
58	258	4126
59	260	4076
60	261	4027
61	262	3978
62	264	3937
63	266	3892
64	267	3851
65	268	3805
66	270	3763
67	271	3719
68	272	3676
69	273	3637
70	274	3597
71	276	3560
72	277	3522
73	278	3484
74	280	3457
75	281	3423
76	283	3394
77	284	3363
78	286	3336
79	287	3309
80	289	3282
81	290	3254
82	291	3218
83	292	3189
84	293	3159
85	295	3135
86	296	3114
87	298	3091
88	299	3069
89	301	3048
90	303	3027
91	304	3006
92	306	2984
93	307	2963
94	309	2945
95	311	2930
96	312	2909
97	314	2891
98	315	2874
99	317	2860
100	319	2844
101	320	2824
102	321	2804
103	323	2784
104	325	2772
105	326	2757
106	328	2742
107	330	2726
108	331	2710
109	333	2695
110	334	2679
111	336	2664
112	337	2650
113	338	2633
114	340	2622
115	342	2606
116	342	2588
117	344	2571
118	345	2555
119	346	2540
120	347	2525
121	348	2507
122	349	2491
123	350	2477
124	352	2465
125	353	2452
126	354	2437
127	356	2426
128	357	2412
129	358	2398
130	359	2384
131	360	2371
132	361	2357
133	362	2343
134	363	2331
135	365	2319
136	366	2307
137	367	2294
138	368	2281
139	369	2268
140	370	2257
141	371	2243
142	372	2231
143	373	2219
144	374	2208
145	375	2198
146	377	2187
147	378	2176
148	379	2165
149	380	2155
150	381	2145
151	382	2134
152	383	2124
153	384	2114
154	386	2107
155	388	2100
156	389	2091
157	390	2081
158	391	2072
159	392	2062
160	393	2050
161	394	2040
162	395	2031
163	396	2021
164	397	2012
165	398	2003
166	400	1996
167	401	1990
168	403	1983
169	404	1976
170	406	1970
171	407	1962
172	409	1955
173	410	1947
174	411	1940
175	412	1932
176	413	1924
177	415	1920
178	416	1912
179	418	1904
180	419	1897
181	420	1890
182	421	1883
183	422	1875
184	424	1868
185	425	1860
186	426	1852
187	427	1845
188	428	1837
189	429	1830
190	430	1823
191	432	1819
192	433	1812
193	434	1805
194	435	1797
195	436	1791
196	437	1784
197	438	1777
198	439	1770
199	441	1764
200	442	1758
201	443	1753
202	444	1746
203	448	1750
204	450	1745
205	451	1739
206	452	1732
207	453	1726
208	454	1721
209	456	1715
210	457	1709
211	458	1703
212	459	1697
213	460	1692
214	462	1687
215	463	1682
216	464	1677
217	465	1671
218	467	1665
219	468	1659
220	469	1654
221	470	1648
222	471	1642
223	472	1636
224	473	1631
225	474	1625
226	475	1619
227	476	1615
228	478	1610
229	479	1604
230	480	1599
231	481	1594
232	483	1591
233	484	1585
234	485	1581
235	486	1576
236	487	1570
237	488	1565
238	490	1561
239	491	1556
240	492	1552
241	493	1546
242	494	1541
243	496	1537
244	497	1532
245	498	1527
246	499	1522
247	500	1517
248	501	1511
249	502	1506
250	503	1501
251	504	1496
252	505	1492
253	506	1488
254	507	1484
255	509	1479
256	510	1475
257	511	1471
258	512	1466
259	513	1462
260	514	1457
261	515	1452
262	516	1448
263	517	1443
264	519	1440
265	520	1437
266	522	1434
267	523	1430
268	524	1426
269	525	1421
270	526	1416
271	527	1411
272	528	1407
273	529	1402
274	530	1399
275	531	1394
276	532	1390
277	533	1385
278	534	1381
279	535	1377
280	536	1373
281	538	1370
282	539	1366
283	540	1362
284	541	1358
285	542	1354
286	543	1350
287	544	1346
288	545	1341
289	546	1337
290	547	1333
291	548	1329
292	549	1325
293	550	1322
294	552	1319
295	553	1316
296	554	1312
297	555	1309
298	557	1306
299	558	1302
300	559	1298
301	560	1294
302	561	1290
303	562	1288
304	564	1285
305	565	1281
306	566	1279
307	568	1276
308	569	1273
309	570	1270
310	571	1266
311	572	1263
312	573	1259
313	575	1256
314	576	1252
315	577	1249
316	578	1245
317	579	1242
318	580	1238
319	581	1236
320	583	1233
321	584	1230
322	585	1226
323	586	1223
324	587	1219
325	588	1216
326	589	1213
327	590	1209
328	591	1206
329	592	1203
330	593	1199
331	594	1196
332	595	1193
333	597	1190
334	598	1188
335	599	1185
336	600	1182
337	601	1178
338	603	1175
339	604	1172
340	605	1170
341	607	1168
342	608	1166
343	610	1164
344	613	1163
345	614	1161
346	615	1158
347	617	1156
348	618	1153
349	619	1150
350	620	1146
351	621	1143
352	622	1140
353	623	1137
354	624	1134
355	625	1131
356	626	1128
357	627	1125
358	628	1122
359	629	1119
360	631	1116
361	631	1113
362	633	1110
363	634	1107
364	635	1104
365	636	1102
366	637	1098
367	638	1096
368	639	1093
369	640	1090
370	641	1088
371	644	1087
372	645	1084
373	646	1081
374	647	1078
375	648	1076
376	649	1073
377	650	1070
378	651	1067
379	652	1064
380	653	1062
381	654	1059
382	655	1056
383	657	1054
384	658	1052
385	660	1050
386	662	1048
387	663	1046
388	664	1043
389	665	1041
390	666	1038
391	667	1035
392	668	1032
393	669	1029
394	670	1027
395	671	1024
396	673	1022
397	674	1019
398	675	1017
399	676	1014
400	677	1012
401	678	1009
402	679	1006
403	680	1004
404	681	1001
405	682	998
406	683	995
407	684	993
408	685	990
409	686	987
410	687	984
411	688	983
412	689	980
413	691	978
414	692	975
415	693	973
416	695	971
417	696	969
418	697	967
419	698	964
420	699	962
421	700	959
422	701	957
423	703	955
424	705	954
425	706	951
426	707	948
427	708	946
428	709	944
429	711	942
430	712	940
431	713	938
432	714	935
433	715	933
434	716	931
435	718	929
436	719	926
437	720	924
438	721	922
439	722	919
440	723	917
441	724	915
442	725	912
443	726	910
444	727	907
445	728	905
446	730	903
447	731	901
448	733	900
449	734	898
450	735	895
451	737	894
452	738	891
453	739	889
454	740	887
455	741	884
456	742	882
457	743	880
458	745	878
459	746	876
460	747	873
461	748	872
462	750	870
463	751	868
464	753	866
465	754	864
466	755	862
467	756	860
468	757	857
469	759	855
470	760	853
471	761	851
472	763	850
473	764	848
474	765	846
475	766	844
476	768	842
477	769	840
478	770	837
479	771	835
480	772	833
481	773	831
482	774	829
483	776	827
484	777	825
485	779	824
486	780	822
487	781	820
488	783	818
489	784	816
490	785	814
491	786	812
492	787	810
493	788	808
494	790	806
495	791	803
496	792	801
497	793	800
498	794	797
499	795	795
500	796	793
501	797	791
502	799	789
503	800	787
504	801	785
505	802	783
506	803	781
507	804	779
508	805	777
509	806	775
510	808	773
511	810	772
512	811	770
513	812	768
514	813	766
515	815	764
516	816	762
517	817	760
518	818	758
519	819	756
520	821	754
521	822	752
522	824	751
523	825	749
524	826	748
525	828	746
526	829	744
527	830	742
528	831	740
529	832	738
530	833	736
531	834	734
532	835	732
533	836	730
534	837	728
535	839	726
536	840	724
537	841	722
538	842	720
539	843	718
540	844	716
541	845	714
542	846	712
543	847	710
544	848	708
545	850	706
546	851	704
547	852	703
548	855	702
549	856	700
550	858	699
551	860	698
552	862	696
553	863	694
554	866	694
555	867	693
556	869	691
557	871	690
558	872	688
559	874	686
560	875	684
561	876	682
562	877	681
563	878	679
564	879	677
565	880	675
566	882	673
567	883	671
568	884	670
569	886	668
570	887	666
571	888	664
572	889	662
573	890	660
574	891	659
575	892	657
576	893	655
577	894	653
578	895	651
579	896	649
580	898	647
581	900	646
582	901	644
583	903	643
584	904	641
585	905	639
586	906	637
587	907	636
588	908	634
589	910	632
590	911	630
591	912	629
592	914	627
593	915	626
594	917	624
595	918	622
596	919	620
597	920	618
598	921	616
599	922	615
600	923	613
601	925	611
602	926	609
603	928	608
604	929	606
605	930	605
606	931	603
607	932	601
608	934	599
609	935	597
610	936	596
611	937	594
612	938	592
613	939	590
614	941	589
615	942	587
616	944	586
617	945	584
618	946	582
619	947	580
620	949	579
621	950	577
622	951	575
623	952	573
624	953	572
625	954	570
626	955	568
627	956	566
628	957	564
629	958	563
630	960	561
631	961	559
632	962	558
633	964	556
634	965	554
635	967	553
636	968	551
637	969	550
638	970	548
639	971	546
640	972	544
641	973	543
642	976	541
643	977	540
644	978	538
645	979	536
646	980	535
647	981	533
648	982	531
649	983	529
650	984	527
651	985	526
652	986	524
653	988	522
654	990	521
655	992	520
656	995	519
657	996	518
658	998	516
659	999	514
660	1000	513
661	1001	511
662	1002	509
663	1003	508
664	1005	506
665	1007	505
666	1008	503
667	1009	501
668	1011	500
669	1012	498
670	1013	496
671	1014	495
672	1015	493
673	1016	491
674	1017	489
675	1019	488
676	1021	487
677	1022	485
678	1024	484
679	1025	482
680	1026	480
681	1027	479
682	1028	477
683	1029	475
684	1030	473
685	1032	472
686	1034	471
687	1036	470
688	1038	468
689	1039	467
690	1040	465
691	1041	463
692	1042	462
693	1043	460
694	1044	458
695	1046	456
696	1047	455
697	1048	453
698	1049	452
699	1051	450
700	1052	448
701	1053	447
702	1054	445
703	1055	443
704	1056	442
705	1057	440
706	1058	438
707	1059	437
708	1061	435
709	1062	433
710	1063	432
711	1064	430
712	1066	429
713	1067	427
714	1068	425
715	1069	424
716	1070	422
717	1071	420
718	1072	419
719	1073	417
720	1074	415
721	1075	414
722	1077	412
723	1078	411
724	1080	409
725	1081	408
726	1083	406
727	1084	405
728	1085	403
729	1086	402
730	1088	400
731	1089	398
732	1090	397
733	1092	395
734	1093	394
735	1095	392
736	1096	391
737	1097	389
738	1098	388
739	1099	386
740	1101	384
741	1102	383
742	1103	381
743	1104	379
744	1105	378
745	1106	376
746	1107	375
747	1109	373
748	1110	372
749	1111	370
750	1113	369
751	1114	367
752	1115	365
753	1116	364
754	1117	362
755	1119	361
756	1121	360
757	1123	358
758	1125	357
759	1127	356
760	1129	354
761	1130	353
762	1132	351
763	1133	350
764	1134	348
765	1135	346
766	1136	345
767	1137	343
768	1138	342
769	1140	340
770	1141	339
771	1142	337
772	1143	335
773	1145	334
774	1146	332
775	1147	331
776	1148	329
777	1149	328
778	1150	326
779	1151	324
780	1152	323
781	1153	321
782	1155	320
783	1156	318
784	1157	317
785	1158	315
786	1159	313
787	1160	312
788	1162	310
789	1163	309
790	1164	307
791	1165	306
792	1166	304
793	1167	302
794	1168	301
795	1170	300
796	1172	298
797	1173	297
798	1175	295
799	1176	294
800	1177	292
801	1178	291
802	1180	289
803	1181	287
804	1182	286
805	1183	284
806	1184	283
807	1185	281
808	1187	280
809	1188	278
810	1189	277
811	1190	275
812	1191	274
813	1192	272
814	1193	270
815	1194	269
816	1195	267
817	1196	266
818	1197	264
819	1199	263
820	1200	261
821	1201	260
822	1203	258
823	1204	257
824	1205	255
825	1206	254
826	1207	252
827	1208	251
828	1209	249
829	1210	247
830	1211	246
831	1213	245
832	1215	243
833	1216	242
834	1218	240
835	1219	239
836	1220	237
837	1221	236
838	1222	234
839	1223	233
840	1224	231
841	1225	230
842	1227	228
843	1228	227
844	1230	225
845	1232	224
846	1233	222
847	1236	221
848	1239	220
849	1240	218
850	1241	217
851	1242	215
852	1243	214
853	1245	212
854	1246	211
855	1247	209
856	1248	208
857	1250	206
858	1252	205
859	1253	204
860	1254	202
861	1255	201
862	1256	199
863	1258	198
864	1259	196
865	1260	195
866	1261	193
867	1262	192
868	1264	190
869	1265	189
870	1266	187
871	1267	186
872	1268	184
873	1269	183
874	1270	181
875	1271	180
876	1272	178
877	1273	177
878	1275	175
879	1276	174
880	1277	172
881	1278	171
882	1280	169
883	1281	168
884	1282	166
885	1283	165
886	1284	163
887	1285	162
888	1286	160
889	1287	159
890	1288	157
891	1289	156
892	1291	154
893	1292	153
894	1293	151
895	1294	150
896	1295	148
897	1296	147
898	1297	145
899	1298	144
900	1300	142
901	1301	141
902	1302	139
903	1303	138
904	1305	137
905	1306	135
906	1307	134
907	1308	132
908	1310	131
909	1311	129
910	1312	128
911	1313	126
912	1314	125
913	1315	123
914	1316	122
915	1317	120
916	1318	119
917	1322	118
918	1323	116
919	1324	115
920	1325	113
921	1326	112
922	1327	110
923	1328	109
924	1329	107
925	1331	106
926	1332	104
927	1333	103
928	1334	102
929	1336	100
930	1337	99
931	1338	97
932	1339	96
933	1340	94
934	1341	93
935	1343	91
936	1344	90
937	1345	88
938	1346	87
939	1347	86
940	1348	84
941	1350	83
942	1351	81
943	1352	80
944	1353	78
945	1354	77
946	1355	75
947	1356	74
948	1358	72
949	1359	71
950	1360	70
951	1361	68
952	1362	67
953	1363	65
954	1364	64
955	1365	62
956	1367	61
957	1368	59
958	1369	58
959	1370	57
960	1371	55
961	1372	54
962	1373	52
963	1374	51
964	1375	49
965	1376	48
966	1378	47
967	1379	45
968	1380	44
969	1382	42
970	1383	41
971	1384	39
972	1385	38
973	1386	37
974	1387	35
975	1388	34
976	1389	32
977	1390	31
978	1391	29
979	1392	28
980	1393	26
981	1395	25
982	1396	24
983	1397	22
984	1398	21
985	1399	19
986	1400	18
987	1401	17
988	1402	15
989	1403	14
990	1405	12
991	1406	11
992	1407	9
993	1409	8
994	1410	7
995	1412	5
996	1413	4
997	1414	2
998	1416	1
999	1417	0
